floor_idx,point_idx,x_mm,y_mm,r_mm,t_mm
8.0,16.0,497.9786071777344,11.032792091369629,0.0,0.0
8.0,17.0,521.7337646484375,4.889561653137207,0.0,0.0
8.0,18.0,552.631591796875,0.0,0.0,0.0
8.0,19.0,576.3157958984375,0.0,0.0,0.0
8.0,20.0,600.0,0.0,0.0,0.0
9.0,1.0,168.75,0.0,0.0,0.0
9.0,2.0,191.44737243652344,0.0,0.0,0.0
9.0,3.0,214.1447296142578,0.0,0.0,0.0
9.0,4.0,248.83633422851562,6.766377925872803,0.0,0.0
9.0,5.0,271.579833984375,10.34676456451416,0.0,0.0
9.0,6.0,297.43682861328125,48.32041549682617,0.0,0.0
9.0,7.0,313.3931884765625,67.21954345703125,0.0,0.0
9.0,8.0,328.51959228515625,61.90340042114258,0.0,0.0
9.0,9.0,349.07000732421875,55.43656539916992,0.0,0.0
9.0,10.0,370.25811767578125,54.9794921875,0.0,0.0
9.0,11.0,391.5079040527344,54.810203552246094,0.0,0.0
9.0,12.0,413.25030517578125,54.903297424316406,0.0,0.0
9.0,13.0,434.13690185546875,60.72392272949219,0.0,0.0
9.0,14.0,458.5117492675781,60.60978317260742,0.0,0.0
9.0,15.0,480.4284973144531,41.1993522644043,0.0,0.0
9.0,16.0,502.2909240722656,11.12529182434082,0.0,0.0
9.0,17.0,525.1163940429688,5.054327964782715,0.0,0.0
9.0,18.0,554.6052856445312,0.0,0.0,0.0
9.0,19.0,577.3026123046875,0.0,0.0,0.0
9.0,20.0,600.0,0.0,0.0,0.0
10.0,1.0,187.5,0.0,0.0,0.0
10.0,2.0,209.2105255126953,0.0,0.0,0.0
10.0,3.0,230.92105102539062,0.0,0.0,0.0
10.0,4.0,263.5988464355469,6.591137409210205,0.0,0.0
10.0,5.0,285.11083984375,10.939996719360352,0.0,0.0
10.0,6.0,309.9741516113281,47.71769332885742,0.0,0.0
10.0,7.0,325.5715637207031,67.03609466552734,0.0,0.0
10.0,8.0,344.77777099609375,63.51359176635742,0.0,0.0
10.0,9.0,361.3089904785156,56.53624725341797,0.0,0.0
10.0,10.0,381.6163330078125,55.927730560302734,0.0,0.0
10.0,11.0,402.0337829589844,55.86740493774414,0.0,0.0
10.0,12.0,422.6546630859375,55.80607223510742,0.0,0.0
10.0,13.0,442.4886779785156,61.60787582397461,0.0,0.0
10.0,14.0,467.3818359375,61.62850570678711,0.0,0.0
10.0,15.0,487.6939392089844,42.14435958862305,0.0,0.0
10.0,16.0,508.5541076660156,11.726972579956055,0.0,0.0
10.0,17.0,530.2083129882812,5.746298313140869,0.0,0.0
10.0,18.0,556.5789184570312,0.0,0.0,0.0
10.0,19.0,578.2894897460938,0.0,0.0,0.0
10.0,20.0,600.0,0.0,0.0,0.0
11.0,1.0,206.25,0.0,0.0,0.0
11.0,2.0,226.9736785888672,0.0,0.0,0.0
11.0,3.0,247.69737243652344,0.0,0.0,0.0
11.0,4.0,276.4616394042969,5.946414947509766,0.0,0.0
11.0,5.0,297.049560546875,10.329092979431152,0.0,0.0
11.0,6.0,321.9466857910156,48.77529525756836,0.0,0.0
11.0,7.0,342.1954650878906,68.10469818115234,0.0,0.0
11.0,8.0,357.0087890625,66.75115966796875,0.0,0.0
11.0,9.0,376.2166748046875,60.00691604614258,0.0,0.0
11.0,10.0,395.25262451171875,59.2168083190918,0.0,0.0
11.0,11.0,414.3872985839844,58.75077438354492,0.0,0.0
11.0,12.0,433.7632141113281,58.153099060058594,0.0,0.0
11.0,13.0,452.5238037109375,62.966548919677734,0.0,0.0
11.0,14.0,473.98052978515625,62.102394104003906,0.0,0.0
11.0,15.0,492.9766540527344,42.27214431762695,0.0,0.0
11.0,16.0,513.05126953125,12.93049430847168,0.0,0.0
11.0,17.0,533.7429809570312,6.639870643615723,0.0,0.0
11.0,18.0,558.5526123046875,0.0,0.0,0.0
11.0,19.0,579.2763061523438,0.0,0.0,0.0
11.0,20.0,600.0,0.0,0.0,0.0
12.0,1.0,225.0,0.0,0.0,0.0
12.0,2.0,244.73684692382812,0.0,0.0,0.0
12.0,3.0,264.47369384765625,0.0,0.0,0.0
12.0,4.0,289.4186096191406,6.4919114112854,0.0,0.0
12.0,5.0,308.80584716796875,12.042092323303223,0.0,0.0
12.0,6.0,330.7027587890625,46.095550537109375,0.0,0.0
12.0,7.0,350.8285827636719,66.66162872314453,0.0,0.0
12.0,8.0,369.8727111816406,67.51522064208984,0.0,0.0
12.0,9.0,388.9210510253906,61.88178253173828,0.0,0.0
12.0,10.0,407.4650573730469,61.45911407470703,0.0,0.0
12.0,11.0,426.212158203125,61.18217086791992,0.0,0.0
12.0,12.0,445.1466369628906,61.158145904541016,0.0,0.0
12.0,13.0,463.1407470703125,65.62394714355469,0.0,0.0
12.0,14.0,481.6593017578125,64.40727233886719,0.0,0.0
12.0,15.0,500.8493347167969,44.51085662841797,0.0,0.0
12.0,16.0,516.7686767578125,11.872909545898438,0.0,0.0
12.0,17.0,537.0614013671875,6.102891445159912,0.0,0.0
12.0,18.0,560.5263061523438,0.0,0.0,0.0
12.0,19.0,580.26318359375,0.0,0.0,0.0
12.0,20.0,600.0,0.0,0.0,0.0
13.0,1.0,243.75,0.0,0.0,0.0
13.0,2.0,262.5,0.0,0.0,0.0
13.0,3.0,281.25,0.0,0.0,0.0
13.0,4.0,303.8101501464844,6.488088607788086,0.0,0.0
13.0,5.0,322.23626708984375,11.972182273864746,0.0,0.0
13.0,6.0,342.3767395019531,44.757286071777344,0.0,0.0
13.0,7.0,361.6380615234375,64.98165130615234,0.0,0.0
13.0,8.0,379.3597106933594,64.73995971679688,0.0,0.0
13.0,9.0,397.81890869140625,58.878719329833984,0.0,0.0
13.0,10.0,415.8914489746094,58.5692138671875,0.0,0.0
13.0,11.0,434.021728515625,58.46793746948242,0.0,0.0
13.0,12.0,452.14044189453125,58.24003219604492,0.0,0.0
13.0,13.0,470.04998779296875,63.72438049316406,0.0,0.0
13.0,14.0,487.5899658203125,62.5057373046875,0.0,0.0
13.0,15.0,505.1167907714844,42.49132537841797,0.0,0.0
13.0,16.0,523.5426635742188,12.745201110839844,0.0,0.0
13.0,17.0,541.3670043945312,6.298133850097656,0.0,0.0
13.0,18.0,562.5,0.0,0.0,0.0
13.0,19.0,581.25,0.0,0.0,0.0
13.0,20.0,600.0,0.0,0.0,0.0
14.0,1.0,262.5,0.0,0.0,0.0
14.0,2.0,280.2631530761719,0.0,0.0,0.0
14.0,3.0,298.02630615234375,0.0,0.0,0.0
